[kbplacer_plugin_action.py:79]: Plugin executed with KiCad version: 7.0.7
[board_modifier.py:338]: Adding track segment (B.Cu): [(268370000, 56075000), (267200000, 54905000)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D9:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW9:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW9:2
[board_modifier.py:266]: Track collide with pad R_SW9:
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 20914f85-5f68-4c05-85be-be0b52300e66 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 293ac732-82ea-4876-abdb-22866741dece track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D10 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW10 with R_D10
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (287420000, 58551499) with pad (286250000, 52051499) at 0 degree angle
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW10:2
[board_modifier.py:266]: Track collide with pad R_SW10:
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of cf17dc58-25f5-4c7b-8409-88d7abdf7e0e track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW10:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW10:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of cf17dc58-25f5-4c7b-8409-88d7abdf7e0e track
[board_modifier.py:338]: Adding track segment (B.Cu): [(287420000, 58551499), (286250000, 57381499)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D10:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW10:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW10:2
[board_modifier.py:266]: Track collide with pad R_SW10:
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 101f98c5-8bd4-40d9-8c1f-258f5cef5390 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of cf17dc58-25f5-4c7b-8409-88d7abdf7e0e track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D11 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW11 with R_D11
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (306470000, 63314000) with pad (305300000, 56814000) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW11:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW11:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 87375b15-6c34-4677-99b6-522d49d3f55e track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW11:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW11:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 87375b15-6c34-4677-99b6-522d49d3f55e track
[board_modifier.py:338]: Adding track segment (B.Cu): [(306470000, 63314000), (305300000, 62144000)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D11:2
[board_modifier.py:266]: Track collide with pad R_SW11:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW11:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW11:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 2a9747d8-726a-4c7d-88ed-b3c3e1ca7a05 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 87375b15-6c34-4677-99b6-522d49d3f55e track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D12 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW12 with R_D12
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (325520000, 68076500) with pad (324350000, 61576500) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW12:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW12:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 0a51c971-2eca-42cd-b7d7-c2736163aaff track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW12:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW12:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 0a51c971-2eca-42cd-b7d7-c2736163aaff track
[board_modifier.py:338]: Adding track segment (B.Cu): [(325520000, 68076500), (324350000, 66906500)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D12:2
[board_modifier.py:266]: Track collide with pad R_SW12:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW12:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW12:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of f167018e-36bb-4b0a-a30c-5bedf4cd2498 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 0a51c971-2eca-42cd-b7d7-c2736163aaff track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D13 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW13 with R_D13
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (230270000, 79887500) with pad (229100000, 73387500) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW13:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW13:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 8f2e92c0-9347-412d-a48a-50ea1377112c track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW13:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW13:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 8f2e92c0-9347-412d-a48a-50ea1377112c track
[board_modifier.py:338]: Adding track segment (B.Cu): [(230270000, 79887500), (229100000, 78717500)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D13:2
[board_modifier.py:266]: Track collide with pad R_SW13:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW13:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW13:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 0dd53b99-1006-4b82-a6c8-ab0e966cde89 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 8f2e92c0-9347-412d-a48a-50ea1377112c track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D14 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW14 with R_D14
[key_placer.py:135]: Could not find pads with the same net, routing skipped
[board_modifier.py:64]: Searching for R_D15 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW15 with R_D15
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (268370000, 75125000) with pad (267200000, 68625000) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW15:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW15:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 0598e997-7f7c-4158-aa84-92afc9d0afc4 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW15:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW15:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 0598e997-7f7c-4158-aa84-92afc9d0afc4 track
[board_modifier.py:338]: Adding track segment (B.Cu): [(268370000, 75125000), (267200000, 73955000)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D15:2
[board_modifier.py:266]: Track collide with pad R_SW15:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW15:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW15:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of f2ea3be8-ea29-4a73-ac63-69c3e3b97be3 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 0598e997-7f7c-4158-aa84-92afc9d0afc4 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D16 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW16 with R_D16
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (287420000, 77601500) with pad (286250000, 71101500) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW16:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW16:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 31529877-6f50-4262-98d5-59c415a424fb track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW16:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW16:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 31529877-6f50-4262-98d5-59c415a424fb track
[board_modifier.py:338]: Adding track segment (B.Cu): [(287420000, 77601500), (286250000, 76431500)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D16:2
[board_modifier.py:266]: Track collide with pad R_SW16:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW16:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW16:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of e8125b46-f154-4863-919e-712e2c36ba3f track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 31529877-6f50-4262-98d5-59c415a424fb track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D17 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW17 with R_D17
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (306470000, 82364000) with pad (305300000, 75864000) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW17:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW17:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of c335169f-1fae-42b1-b414-0fa16d417264 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW17:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW17:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of c335169f-1fae-42b1-b414-0fa16d417264 track
[board_modifier.py:338]: Adding track segment (B.Cu): [(306470000, 82364000), (305300000, 81194000)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D17:2
[board_modifier.py:266]: Track collide with pad R_SW17:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW17:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW17:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 718f83b4-16a4-4539-b3c0-b78e06854d3c track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of c335169f-1fae-42b1-b414-0fa16d417264 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D18 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW18 with R_D18
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (325520000, 87126500) with pad (324350000, 80626500) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW18:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW18:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of dc7dbb7e-5f4a-46a2-8097-15d249137faa track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW18:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW18:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of dc7dbb7e-5f4a-46a2-8097-15d249137faa track
[board_modifier.py:338]: Adding track segment (B.Cu): [(325520000, 87126500), (324350000, 85956500)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D18:2
[board_modifier.py:266]: Track collide with pad R_SW18:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW18:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW18:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 8b3c6fae-d1aa-4cf9-8817-cf9ca9b4c907 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of dc7dbb7e-5f4a-46a2-8097-15d249137faa track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D19 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW19 with R_D19
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (201182971, 133612976) with pad (196919722, 128568811) at 330.0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW19:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW19:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of eb1156ba-8a26-4ee7-a1d2-7e496dc8fbaa track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW19:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW19:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of eb1156ba-8a26-4ee7-a1d2-7e496dc8fbaa track
[board_modifier.py:338]: Adding track segment (B.Cu): [(201182971, 133612976), (199584721, 133184726)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D19:2
[board_modifier.py:266]: Track collide with pad R_SW19:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW19:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW19:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 194176e1-059b-4b35-8a8f-615398a004c0 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of eb1156ba-8a26-4ee7-a1d2-7e496dc8fbaa track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D20 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW20 with R_D20
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (217680755, 124087976) with pad (213417506, 119043811) at 330.0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW20:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW20:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of f474da68-dade-4c69-bcd3-ff50a9383ae0 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW20:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW20:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of f474da68-dade-4c69-bcd3-ff50a9383ae0 track
[board_modifier.py:338]: Adding track segment (B.Cu): [(217680755, 124087976), (216082505, 123659726)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D20:2
[board_modifier.py:266]: Track collide with pad R_SW20:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW20:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW20:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 020b883d-bed9-4655-b8be-6e02a2316800 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of f474da68-dade-4c69-bcd3-ff50a9383ae0 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D21 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW21 with R_D21
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (230270000, 98937500) with pad (229100000, 92437500) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW21:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW21:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of f7638a82-0f4d-43d5-af1b-4854f4ccc4e5 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW21:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW21:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of f7638a82-0f4d-43d5-af1b-4854f4ccc4e5 track
[board_modifier.py:338]: Adding track segment (B.Cu): [(230270000, 98937500), (229100000, 97767500)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D21:2
[board_modifier.py:266]: Track collide with pad R_SW21:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW21:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW21:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 2eda557c-cfc4-4fd6-b482-d79b7fc78ac9 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of f7638a82-0f4d-43d5-af1b-4854f4ccc4e5 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D22 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW22 with R_D22
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (249320000, 96651500) with pad (248150000, 90151500) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW22:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW22:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 85965e10-641f-4c63-bc63-3dc9496eaa2f track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW22:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW22:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 85965e10-641f-4c63-bc63-3dc9496eaa2f track
[board_modifier.py:338]: Adding track segment (B.Cu): [(249320000, 96651500), (248150000, 95481500)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D22:2
[board_modifier.py:266]: Track collide with pad R_SW22:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW22:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW22:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 2fcfb542-f709-4951-87fa-8cffad2d2458 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 85965e10-641f-4c63-bc63-3dc9496eaa2f track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D23 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW23 with R_D23
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (268370000, 94175000) with pad (267200000, 87675000) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW23:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW23:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 2039cd21-930d-484a-9297-e7f10dc19ac0 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW23:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW23:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 2039cd21-930d-484a-9297-e7f10dc19ac0 track
[board_modifier.py:338]: Adding track segment (B.Cu): [(268370000, 94175000), (267200000, 93005000)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D23:2
[board_modifier.py:266]: Track collide with pad R_SW23:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW23:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW23:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 8d04584d-5275-400d-8ebf-b0d6e28b69f9 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 2039cd21-930d-484a-9297-e7f10dc19ac0 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D24 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW24 with R_D24
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (287420000, 96651500) with pad (286250000, 90151500) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW24:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW24:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of d3d432a8-5c00-42e2-92d3-683a163620c3 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW24:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW24:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of d3d432a8-5c00-42e2-92d3-683a163620c3 track
[board_modifier.py:338]: Adding track segment (B.Cu): [(287420000, 96651500), (286250000, 95481500)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D24:2
[board_modifier.py:266]: Track collide with pad R_SW24:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW24:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW24:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 3a938db7-1e3b-4b0b-af3b-7f1a5de56472 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of d3d432a8-5c00-42e2-92d3-683a163620c3 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D25 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW25 with R_D25
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (306470000, 101414000) with pad (305300000, 94914000) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW25:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW25:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 399316e9-1db0-482f-a4c3-9d8e13308789 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW25:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW25:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 399316e9-1db0-482f-a4c3-9d8e13308789 track
[board_modifier.py:338]: Adding track segment (B.Cu): [(306470000, 101414000), (305300000, 100244000)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D25:2
[board_modifier.py:266]: Track collide with pad R_SW25:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW25:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW25:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of b489baff-53e0-4e4f-b556-96b99933cc03 track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 399316e9-1db0-482f-a4c3-9d8e13308789 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:64]: Searching for R_D26 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[key_placer.py:95]: Routing R_SW26 with R_D26
[key_placer.py:131]: Using internal autorouter method
[board_modifier.py:407]: Routing at B.Cu layer
[board_modifier.py:460]: Routing pad (325520000, 106176500) with pad (324350000, 99676500) at 0 degree angle
[board_modifier.py:266]: Track collide with pad R_SW26:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW26:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 7ce4c85a-7500-499f-8949-5d3eea33fe07 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW26:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW26:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 7ce4c85a-7500-499f-8949-5d3eea33fe07 track
[board_modifier.py:338]: Adding track segment (B.Cu): [(325520000, 106176500), (324350000, 105006500)]
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_D26:2
[board_modifier.py:266]: Track collide with pad R_SW26:
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW26:2
[board_modifier.py:256]: Track collision ignored, track starts or ends in pad R_SW26:2
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 4f43f600-2255-47c1-bee3-52981738aaff track
[board_modifier.py:287]: Track collision ignored, track starts or ends at the end of 7ce4c85a-7500-499f-8949-5d3eea33fe07 track
[board_modifier.py:344]: Could not add track segment due to detected collision
[key_placer.py:162]: Removing dangling tracks
